ID,Year,Date,State,GeoRegion,ColonyName,Latitude,Longitude,SpeciesCode,Nests,Birds,Notes,BestForBPE?,CombinedMayJuneTotal?
1510,2011,"06/15/11 00:00:00","LA","Breton-Chandeleur Islands","Chandeleur South D",29.770378,-88.882942,"SATE",9273,9528,,"Y","N"
2137,2012,"05/27/12 00:00:00","LA","Terrebonne Bay","Raccoon Island",29.0505,-90.92659999999999,"SATE",9095,9822,,"Y","N"
32,2010,"06/14/10 00:00:00","LA","Breton-Chandeleur Islands","Breton Island",29.4955,-89.1742,"ROSA",8937,7858,"Includes 4137 Empty Nests (1742 dotted as ROSA, 2395 as UNTE); also includes estimate of 4000 Sites from an Overview","Y","N"
4072,2018,"05/21/18 00:00:00","LA","Terrebonne Bay","Felicity Island",29.2558,-90.44,"LAGU",8877,14345,,"Y","N"
4074,2018,"05/21/18 00:00:00","LA","Terrebonne Bay","Raccoon Island",29.0505,-90.92659999999999,"BRPE",8621,12150,,"Y","N"
4073,2018,"06/24/18 00:00:00","LA","Birdsfoot East","Gunn Island",29.4136,-89.2957,"SATE",8621,9053,,"Y","N"
4075,2018,"06/25/18 00:00:00","LA","Atchafalaya Bay","Bird Island West",29.368626,-91.40304999999999,"WHIB",8397,10065,,"Y","N"
2138,2012,"05/30/12 00:00:00","AL","Mobile Bay Interior","Gaillard Island",30.5063,-88.03619999999999,"BRPE",8393,9735,"Does not include 92 Empty Nests","Y","N"
2139,2012,"06/19/12 00:00:00","LA","Breton-Chandeleur Islands","Chandeleur North G",29.865132,-88.832617,"ROSA",8284,0,"All Empty Nests","Y","N"
4076,2018,"05/19/18 00:00:00","LA","Biloxi South","Belle Isle",29.5758,-89.5727,"LAGU",8081,13791,,"Y","N"
2695,2013,"05/25/13 00:00:00","AL","Mobile Bay Interior","Gaillard Island",30.5063,-88.03619999999999,"BRPE",7776,8920,"Does not include 90 Empty Nests","Y","Y"
3345,2015,"05/16/15 00:00:00","LA","Terrebonne Bay","Raccoon Island",29.0505,-90.92659999999999,"LAGU",7656,12840,,"Y","N"
3346,2015,"05/16/15 00:00:00","LA","Terrebonne Bay","Raccoon Island",29.0505,-90.92659999999999,"ROYT",7578,8275,,"Y","N"
2696,2013,"05/23/13 00:00:00","LA","Terrebonne Bay","Raccoon Island",29.0505,-90.92659999999999,"SATE",7563,8686,,"Y","N"
3347,2015,"06/21/15 00:00:00","LA","Breton-Chandeleur Islands","Curlew Island",29.66636,-88.96111999999999,"SATE",7521,8011,,"Y","N"
1511,2011,"05/18/11 00:00:00","LA","Breton-Chandeleur Islands","Breton Island",29.4955,-89.1742,"LAGU",7442,13939,,"Y","N"
2140,2012,"05/27/12 00:00:00","LA","Atchafalaya Bay","Skimmer Island",29.3864,-91.3836,"WHIB",7407,11201,,"Y","N"
2697,2013,"06/18/13 00:00:00","LA","Breton-Chandeleur Islands","Chandeleur South B",29.79898,-88.86415599999999,"SATE",7371,8420,,"Y","N"
