ColonyID,ActiveInventory,ColonyGroupBuffer,ColonyName,State,Longitude,Latitude,PrimaryHabitat,LandForm,GeoRegion,ExtrapArea,TerrestEcoRegion,MarineEcoRegion,FormerNames,OrigDotterID,NOTES August 2022
"NUCA","Yes","Nueces Causeway","Nueces Causeway","TX",-97.37604,27.84176,,,"Corpus Christi-Aransas Bay","Mid Texas Coast","Mid-Coast TX Barrier Islands and Coastal Marshes","Texas Estuarine Area","Nueces Causeway 614-141","PJC42","Causeway Island (East Nueces Bay), TCWB database."
"H_NRM","No","Nueces Rivermouth","Nueces Rivermouth","TX",-97.4896,27.8451,,,"Corpus Christi-Aransas Bay","Mid Texas Coast","Mid-Coast TX Barrier Islands and Coastal Marshes","Texas Estuarine Area","PJC41","PJC41","TCWB database - active 2021; excluded from analyses 2014."
"OCLB","Yes","Ocean Club","Ocean Club","MS",-88.95937000000001,30.39151,,,"Mississippi Sound","Coastal Marshes","Gulf Barrier Islands and Coastal Marshes","Mississippi Estuarine Area","None",,"Colony location is at center of polygon provided by MSCWB."
"OWV","Yes","Ocean Wave","Ocean Wave","MS",-89.12712999999999,30.35349,,,"Mississippi Sound","Coastal Marshes","Gulf Barrier Islands and Coastal Marshes","Mississippi Estuarine Area","None",,"Colony location is at center of polygon provided by MSCWB."
"H_OKWS","No","Okeechobee Waterway Spoil Island","Okeechobee Waterway Spoil Island","FL",-82.02500000000001,26.51,,,"Charlotte Harbor","South Florida","Southwestern Florida Flatwoods","Western Florida Estuarine Area",,"MWP59","Surveyed 2010 only."
"ORI","Yes","Round Islands","Old Round Island","MS",-88.58663,30.29523,,,"Mississippi Sound","Coastal Marshes","Gulf Barrier Islands and Coastal Marshes","Mississippi Estuarine Area","Round Island","Round Island",
"H_OBIN","No","Ostego Bay Islet North","Ostego Bay Islet North","FL",-81.8933,26.4243,,,"Charlotte Harbor","South Florida","Southwestern Florida Flatwoods","Western Florida Estuarine Area",,"MWP45","Surveyed 2010 only."
"H_OBIS","No","Ostego Bay Islet South","Ostego Bay Islet South","FL",-81.89530000000001,26.4226,,,"Charlotte Harbor","South Florida","Southwestern Florida Flatwoods","Western Florida Estuarine Area",,"MWP46","Surveyed 2010 only."
"H_OYSK","No","Oyster Keys","Oyster Keys","FL",-80.95140000000001,25.104,,,"Everglades National Park","South Florida","Southern Coast and Islands","Florida Bay",,"Oyster Keys","Surveyed 2010 only."
"OLB","Yes","Oyster Lake Beach","Oyster Lake Beach","FL",-85.14824,29.63597,,,"Apalachicola East","Coastal Marshes-Barrier Islands","Gulf Barrier Islands and Coastal Marshes","Eastern Gulf Neritic","SV LETE 02",,
"H_PALM","No","Palm Key","Palm Key","FL",-80.87860000000001,25.1122,,,"Everglades National Park","South Florida","Southern Coast and Islands","Florida Bay",,"Palm Key","Surveyed 2010 only."
"PCH","Yes","Pass Christian Harbor","Pass Christian Harbor","MS",-89.2396,30.31594,,,"Mississippi Sound","Coastal Marshes","Gulf Barrier Islands and Coastal Marshes","Mississippi Estuarine Area","None",,"Colony location is at center of polygon provided by MSCWB."
"H_PAVK","No","Pavillion Key","Pavillion Key","FL",-81.35420000000001,25.7025,,,"Ten Thousand Islands","South Florida","Southern Coast and Islands","Shark River Estuarine Area",,"Pavillion Key","Surveyed 2010 only."
